,LR,LRt,LRparaC,DT,DTt,DTparaC,SVC3,SVC3t,paraC,Sigma
0,95.83333333333334,0.03998398780822754,-999999.0,89.58333333333334,0.0029997825622558594,-999999.0,97.91666666666666,0.040015220642089844,4.0,0.003676470588235294
1,100.0,0.046857357025146484,-999999.0,97.91666666666666,0.0,-999999.0,91.66666666666666,0.046834707260131836,2.0,0.029411764705882353
2,91.66666666666666,0.04686164855957031,-999999.0,97.91666666666666,0.0,-999999.0,95.83333333333334,0.046872854232788086,2.0,0.007352941176470588
3,97.91666666666666,0.031190156936645508,-999999.0,95.83333333333334,0.0,-999999.0,97.91666666666666,0.031248092651367188,2.0,0.014705882352941176
4,97.91666666666666,0.04687762260437012,-999999.0,95.83333333333334,0.015624761581420898,-999999.0,95.83333333333334,0.03567147254943848,2.0,0.007352941176470588
5,100.0,0.046861886978149414,-999999.0,91.66666666666666,0.0,-999999.0,95.83333333333334,0.04683399200439453,2.0,0.007352941176470588
6,95.83333333333334,0.031249284744262695,-999999.0,91.66666666666666,0.0,-999999.0,97.91666666666666,0.04687309265136719,2.0,0.014705882352941176
7,95.83333333333334,0.04681754112243652,-999999.0,93.75,0.0,-999999.0,95.83333333333334,0.04687643051147461,2.0,0.007352941176470588
8,93.75,0.046813011169433594,-999999.0,87.5,0.0,-999999.0,95.83333333333334,0.031249284744262695,2.0,0.003676470588235294
9,97.91666666666666,0.0468440055847168,-999999.0,97.91666666666666,0.0,-999999.0,91.66666666666666,0.03122544288635254,2.0,0.007352941176470588
10,97.91666666666666,0.06219482421875,-999999.0,97.91666666666666,0.002999544143676758,-999999.0,95.83333333333334,0.031267404556274414,2.0,0.007352941176470588
11,91.66666666666666,0.031192541122436523,-999999.0,91.66666666666666,0.0,-999999.0,95.83333333333334,0.046918392181396484,2.0,0.007352941176470588
12,95.83333333333334,0.0468599796295166,-999999.0,91.66666666666666,0.0,-999999.0,85.41666666666666,0.046875715255737305,2.0,0.003676470588235294
13,97.91666666666666,0.031223535537719727,-999999.0,95.83333333333334,0.0,-999999.0,93.75,0.031246423721313477,2.0,0.007352941176470588
14,100.0,0.04685544967651367,-999999.0,95.83333333333334,0.0,-999999.0,97.91666666666666,0.04686093330383301,2.0,0.003676470588235294
15,91.66666666666666,0.03119206428527832,-999999.0,93.75,0.0,-999999.0,91.66666666666666,0.04687905311584473,2.0,0.003676470588235294
16,91.66666666666666,0.031238079071044922,-999999.0,100.0,0.015624761581420898,-999999.0,95.83333333333334,0.046871185302734375,2.0,0.014705882352941176
17,100.0,0.031233549118041992,-999999.0,97.91666666666666,0.015625476837158203,-999999.0,93.75,0.0312497615814209,4.0,0.003676470588235294
18,95.83333333333334,0.04685854911804199,-999999.0,95.83333333333334,0.0,-999999.0,97.91666666666666,0.04687762260437012,2.0,0.014705882352941176
19,93.75,0.04686164855957031,-999999.0,93.75,0.0,-999999.0,95.83333333333334,0.031249523162841797,2.0,0.003676470588235294
